text,label
我想买份终身寿险,1
定期寿险和终身寿险哪个好？,1
请推荐一款适合年轻人的寿险,1
想给父母买份寿险保障一下,1
我打算买份寿险，怎么买最划算？,1
保障型寿险和分红型寿险区别大吗？,1
寿险保额一般选多少合适？,1
我今年35岁，买寿险还来得及吗？,1
寿险一般保多久？,1
寿险理赔流程复杂吗？,1
寿险是不是要体检？,1
投保寿险需要提供哪些资料？,1
寿险可以退保吗？怎么退？,1
被保险人去世后多久能赔？,1
买寿险会不会被拒保？,1
寿险是不是有现金价值？,1
寿险和重疾险有什么区别？,1
定期寿险是不是比终身便宜？,1
想了解一下寿险和意外险的差别,1
买寿险是不是比买理财险更划算？,1
重疾险和寿险可以一起买吗？,1
寿险有没有理财功能？,1
分红型寿险收益高吗？,1
买寿险能当养老保险用吗？,1
我想通过寿险来做资产传承,1
重疾险怎么买最划算？,0
医疗险和百万医疗险有区别吗？,0
小孩子买什么重疾险好？,0
癌症险属于重疾险吗？,0
车险怎么买最省钱？,0
房屋保险需要买吗？,0
家财险能赔电器损坏吗？,0
企业财产险包括哪些保障？,0
意外险和健康险有什么不同？,0
意外险能赔交通事故吗？,0
我骑电动车出事故能理赔吗？,0
买意外险要注意什么？,0
理财险收益率一般多少？,0
我想了解年金险,0
投连险风险大吗？,0
现在买养老险合适吗？,0
今天天气不错,0
请问平安银行几点关门？,0
我想买车,0
帮我查一下快递,0
你是谁？,0
这个系统是人工智能吗？,0
我想给我爱人买一份寿险,1
你们的年金产品怎么样,1
身故了能赔多少钱,1
孩子教育金保险有推荐吗,1
定期寿险和终身寿险的区别,1
今天天气真好,0
我的车被刮了怎么报保险,0
你好，请问你是谁,0
我要开发票,0
这个快递到哪了,0
